State,Democratic Candidates,Republican Candidates,Other Candidates,,
AL,2100167,3875377,124957,,
AK,263673,456624,217950,,
AZ,3227099,3876046,412814,,
AR,892443,2107271,307061,,
CA,29622400,9165847,1051551,,
CO,3973371,3706420,545046,,
CT,2735153,1783998,297228,,
DE,469157,357428,37869,,
DC,548008,12723,51443,,
FL,12612113,0,760465,,
GA,4976126,6497370,312703,,
HI,1034300,351216,71247,,
ID,587006,1305616,158170,,
IL,8914205,6728143,627721,,
IN,3244974,4424266,456631,,
IA,1877098,2540143,205381,,
KS,1124380,2097634,314046,,
KY,2039817,3751098,92698,,
LA,2433901,4325285,164126,,
ME,744362,693040,55099,,
MD,4974035,2877814,363512,,
MA,4339714,1542014,384006,,
MI,4462819,4522945,484425,,
MN,2802306,2657637,345302,,
MS,-4020067,0,-525279,,
MO,-1542520,0,-225100,,
MT,139758,-413242,23432,,
NE,261693,75678,40092,,
NV,2628601,2484581,398594,,
NH,2098984,1994911,318081,,
NJ,10265362,8105110,448220,,
NM,7117630,5624337,329976,,
NY,27707318,5642426,5290453,,
NC,20624926,6163395,3648862,,
ND,232251,719562,73507,,
OH,6545595,8955589,587822,,
OK,-10926871,0,-192742,,
OR,-7119101,0,-37804,,
PA,-3311330,0,117135,,
RI,516173,321867,57629,,
SC,2338038,3590709,263635,,
SD,354408,730400,24914,,
TN,1684876,3016665,197547,,
TX,7038403,9562652,896697,,
UT,968826,1986128,406254,,
VT,635230,199006,89974,,
VA,3840899,3612453,313527,,
WA,5392842,3955975,352554,,
WV,413243,934388,53141,,
WI,4142867,4155034,400652,,
WY,131439,330595,45591,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
